"fixed.acidity";"volatile.acidity";"citric.acidity";"residual.sugar";"chlorides";"free.sulfur.dioxide";"total.sulfur.dioxide";"density";"pH";"sulphates";"alcohol";"quality";"paises"
6;0,51;0;2,1;0,064;40;54;0,995;3,54;0,93;10,7;6;"Chile"
8,8;0,61;0,19;4;0,094;30;69;0,99787;3,22;0,5;10;6;"Spain"
11,5;0,45;0,5;3;0,078;19;47;1,0003;3,26;1,11;11;6;"Spain"
7,1;0,29;0,49;1,2;0,031;32;99;0,9893;3,07;0,33;12,2;6;"Argentina"
7,2;0,31;0,26;7,3;0,05;37;157;0,99625;3,09;0,43;9;5;"Argentina"
11,3;0,34;0,45;2;0,082;6;15;0,9988;2,94;0,66;9,2;6;"France"
8,5;0,46;0,31;2,25;0,078;32;58;0,998;3,33;0,54;9,8;5;"Spain"
6,1;0,6;0,08;1,8;0,071;14;45;0,99336;3,38;0,54;11;5;"France"
7,8;0,56;0,19;2;0,081;17;108;0,9962;3,32;0,54;9,5;5;"France"
7,1;0,65;0,18;1,8;0,07;13;40;0,997;3,44;0,6;9,1;5;"France"
6,8;0,61;0,2;1,8;0,077;11;65;0,9971;3,54;0,58;9,3;5;"Spain"
9,1;0,28;0,46;9;0,114;3;9;0,99901;3,18;0,6;10,9;6;"France"
8,2;0,28;0,6;3;0,104;10;22;0,99828;3,39;0,68;10,6;5;"Chile"
6,6;0,8;0,03;7,8;0,079;6;12;0,9963;3,52;0,5;12,2;5;"Chile"
7,1;0,13;0,4;1,2;0,047;54;134;0,9932;3,3;0,97;9,8;7;"Argentina"
8,3;0,65;0,1;2,9;0,089;17;40;0,99803;3,29;0,55;9,5;5;"Spain"
8,3;0,21;0,4;1,6;0,032;35;110;0,9907;3,02;0,6;12,9;7;"Argentina"
11,8;0,33;0,49;3,4;0,093;54;80;1,0002;3,3;0,76;10,7;7;"Chile"
7,2;0,63;0;1,9;0,097;14;38;0,99675;3,37;0,58;9;6;"Chile"
8,4;0,62;0,09;2,2;0,084;11;108;0,9964;3,15;0,66;9,8;5;"France"
7,2;0,53;0,13;2;0,058;18;22;0,99573;3,21;0,68;9,9;6;"Spain"
9,1;0,3;0,34;2;0,064;12;25;0,99516;3,26;0,84;11,7;7;"Chile"
10,4;0,26;0,48;1,9;0,066;6;10;0,99724;3,33;0,87;10,9;6;"Chile"
9,1;0,68;0,11;2,8;0,093;11;44;0,99888;3,31;0,55;9,5;6;"France"
9,4;0,27;0,53;2,4;0,074;6;18;0,9962;3,2;1,13;12;7;"France"
7,6;0,36;0,31;1,7;0,079;26;65;0,99716;3,46;0,62;9,5;6;"Spain"
7,4;0,6;0,26;7,3;0,07;36;121;0,9982;3,37;0,49;9,4;5;"France"
12,3;0,5;0,49;2,2;0,089;5;14;1,0002;3,19;0,44;9,6;5;"Spain"
7,7;0,49;0,26;1,9;0,062;9;31;0,9966;3,39;0,64;9,6;5;"Spain"
6,6;0,35;0,26;2,7;0,045;19;129;0,98952;3,24;0,48;13;7;"Argentina"
7,9;0,29;0,49;2,2;0,096;21;59;0,99714;3,31;0,67;10,1;6;"France"
7,2;0,835;0;2;0,166;4;11;0,99608;3,39;0,52;10;5;"France"
6,7;0,33;0,34;7,5;0,036;39;124;0,99123;2,99;0,32;12,4;8;"Argentina"
7;0,24;0,34;3;0,035;36;102;0,9905;3,18;0,43;12,2;6;"Argentina"
7,4;0,36;0,34;1,8;0,075;18;38;0,9933;3,38;0,88;13,6;7;"France"
6,7;0,67;0,02;1,9;0,061;26;42;0,99489;3,39;0,82;10,9;6;"Spain"
9,2;0,31;0,36;2,2;0,079;11;31;0,99615;3,33;0,86;12;7;"Chile"
10;0,35;0,45;2,5;0,092;20;88;0,99918;3,15;0,43;9,4;5;"Spain"
8;0,38;0,44;1,9;0,098;6;15;0,9956;3,3;0,64;11,4;6;"Spain"
6,2;0,32;0,12;4,8;0,054;6;97;0,99424;3,16;0,5;9,3;5;"Argentina"
6,5;0,38;0,26;5,2;0,042;33;112;0,99067;3,06;0,5;12,3;7;"Argentina"
10,3;0,34;0,52;2,8;0,159;15;75;0,9998;3,18;0,64;9,4;5;"France"
6,8;0,18;0,28;9,8;0,039;29;113;0,99406;3,11;0,45;10,9;7;"Argentina"
7;0,43;0,02;1,9;0,08;15;28;0,99492;3,35;0,81;10,6;6;"France"
7,5;0,58;0,03;4,1;0,08;27;46;0,99592;3,02;0,47;9,2;5;"Spain"
7,7;0,835;0;2,6;0,081;6;14;0,9975;3,3;0,52;9,3;5;"Chile"
9,9;0,4;0,53;6,7;0,097;6;19;0,9986;3,27;0,82;11,7;7;"Chile"
6,8;0,48;0,08;1,8;0,074;40;64;0,99529;3,12;0,49;9,6;5;"Spain"
9,8;0,34;0,39;1,4;0,066;3;7;0,9947;3,19;0,55;11,4;7;"France"
6,4;0,18;0,32;9,6;0,052;24;90;0,9963;3,35;0,49;9,4;6;"Argentina"
6,2;0,27;0,32;8,8;0,047;65;224;0,9961;3,17;0,47;8,9;5;"Argentina"
8,4;0,715;0,2;2,4;0,076;10;38;0,99735;3,31;0,64;9,4;5;"Spain"
8,1;0,33;0,36;7,4;0,037;36;156;0,99592;3,19;0,54;10,6;6;"Argentina"
8,5;0,46;0,59;1,4;0,414;16;45;0,99702;3,03;1,34;9,2;5;"France"
8,3;0,26;0,42;2;0,08;11;27;0,9974;3,21;0,8;9,4;6;"Spain"
6,8;0,61;0,04;1,5;0,057;5;10;0,99525;3,42;0,6;9,5;5;"Chile"
6,8;0,56;0,22;1,8;0,074;15;24;0,99438;3,4;0,82;11,2;6;"France"
8,4;0,19;0,43;2,1;0,052;20;104;0,994;2,85;0,46;9,5;5;"Argentina"
10,2;0,44;0,58;4,1;0,092;11;24;0,99745;3,29;0,99;12;7;"Chile"
10,8;0,89;0,3;2,6;0,132;7;60;0,99786;2,99;1,18;10,2;5;"France"
8;0,6;0,22;2,1;0,08;25;105;0,99613;3,3;0,49;9,9;5;"Chile"
7,3;0,91;0,1;1,8;0,074;20;56;0,99672;3,35;0,56;9,2;5;"Spain"
12,9;0,35;0,49;5,8;0,066;5;35;1,0014;3,2;0,66;12;7;"Spain"
7,5;0,58;0,2;2;0,073;34;44;0,99494;3,1;0,43;9,3;5;"Spain"
9,9;0,54;0,45;2,3;0,071;16;40;0,9991;3,39;0,62;9,4;5;"France"
5,8;0,24;0,26;10,05;0,039;63;162;0,99375;3,33;0,5;11,2;6;"Argentina"
8,5;0,37;0,2;2,8;0,09;18;58;0,998;3,34;0,7;9,6;6;"France"
6;0,54;0,06;1,8;0,05;38;89;0,99236;3,3;0,5;10,55;6;"Spain"
7,3;0,835;0,03;2,1;0,092;10;19;0,9966;3,39;0,47;9,6;5;"Spain"
6,9;0,635;0,17;2,4;0,241;6;18;0,9961;3,4;0,59;10,3;6;"France"
7,2;0,38;0,3;1,8;0,073;31;70;0,99685;3,42;0,59;9,5;6;"Chile"
7,2;0,655;0,03;1,8;0,078;7;12;0,99587;3,34;0,39;9,5;5;"France"
6,8;0,41;0,31;8,8;0,084;26;45;0,99824;3,38;0,64;10,1;6;"Chile"
11,2;0,5;0,74;5,15;0,1;5;17;0,9996;3,22;0,62;11,2;5;"Chile"
7;0,42;0,35;1,6;0,088;16;39;0,9961;3,34;0,55;9,2;5;"Spain"
6,9;0,75;0,13;6,3;0,036;19;50;0,99312;3,09;0,25;11,1;4;"Argentina"
6,9;0,52;0,25;2,6;0,081;10;37;0,99685;3,46;0,5;11;5;"France"
6,8;0,65;0,02;2,1;0,078;8;15;0,99498;3,35;0,62;10,4;6;"Chile"
8,1;0,545;0,18;1,9;0,08;13;35;0,9972;3,3;0,59;9;6;"Chile"
8,9;0,745;0,18;2,5;0,077;15;48;0,99739;3,2;0,47;9,7;6;"France"
15;0,21;0,44;2,2;0,075;10;24;1,00005;3,07;0,84;9,2;7;"France"
7,1;0,735;0,16;1,9;0,1;15;77;0,9966;3,27;0,64;9,3;5;"Chile"
8;0,28;0,44;1,8;0,081;28;68;0,99501;3,36;0,66;11,2;5;"Spain"
9,4;0,615;0,28;3,2;0,087;18;72;1,0001;3,31;0,53;9,7;5;"Spain"
8,2;0,17;0,32;1,5;0,05;17;101;0,994;3,14;0,58;9,5;5;"Argentina"
6,7;0,31;0,34;6,8;0,059;51;215;0,99538;3,33;0,56;10,3;5;"Argentina"
7,8;0,6;0,26;2;0,08;31;131;0,99622;3,21;0,52;9,9;5;"Spain"
9,6;0,38;0,31;2,5;0,096;16;49;0,9982;3,19;0,7;10;7;"Chile"
6,9;0,16;0,35;1,3;0,043;21;182;0,9927;3,25;0,62;10,8;6;"Argentina"
6,7;0,35;0,48;8,8;0,056;35;167;0,99628;3,04;0,47;9,4;5;"Argentina"
10,9;0,32;0,52;1,8;0,132;17;44;0,99734;3,28;0,77;11,5;6;"Spain"
7,2;0,23;0,38;14,3;0,058;55;194;0,9979;3,09;0,44;9;6;"Argentina"
10,4;0,575;0,61;2,6;0,076;11;24;1;3,16;0,69;9;5;"France"
6,9;0,74;0,03;2,3;0,054;7;16;0,99508;3,45;0,63;11,5;6;"France"
7,1;0,59;0,01;2,3;0,08;27;43;0,9955;3,42;0,58;10,7;6;"Chile"
9,9;0,59;0,07;3,4;0,102;32;71;1,00015;3,31;0,71;9,8;5;"France"
7,1;0,52;0,03;2,6;0,076;21;92;0,99745;3,5;0,6;9,8;5;"Spain"
9,4;0,3;0,56;2,8;0,08;6;17;0,9964;3,15;0,92;11,7;8;"Spain"
7,4;0,59;0,08;4,4;0,086;6;29;0,9974;3,38;0,5;9;4;"Spain"
7,5;0,4;0,18;1,6;0,079;24;58;0,9965;3,34;0,58;9,4;5;"Chile"
7,9;0,72;0,01;1,9;0,076;7;32;0,99668;3,39;0,54;9,6;5;"Spain"
8;0,45;0,23;2,2;0,094;16;29;0,9962;3,21;0,49;10,2;6;"Spain"
8,1;0,87;0;3,3;0,096;26;61;1,00025;3,6;0,72;9,8;4;"France"
8;0,45;0,28;10,8;0,051;25;157;0,9957;3,06;0,47;11,4;7;"Argentina"
7,2;0,6;0,04;2,5;0,076;18;88;0,99745;3,53;0,55;9,5;5;"France"
7,9;0,32;0,51;1,8;0,341;17;56;0,9969;3,04;1,08;9,2;6;"Chile"
7,1;0,875;0,05;5,7;0,082;3;14;0,99808;3,4;0,52;10,2;3;"France"
8,4;0,62;0,12;1,8;0,072;38;46;0,99504;3,38;0,89;11,8;6;"France"
9,1;0,6;0;1,9;0,058;5;10;0,9977;3,18;0,63;10,4;6;"Spain"
6,8;0,81;0,05;2;0,07;6;14;0,99562;3,51;0,66;10,8;6;"Spain"
7;0,65;0,02;2,1;0,066;8;25;0,9972;3,47;0,67;9,5;6;"Spain"
9,3;0,61;0,26;3,4;0,09;25;87;0,99975;3,24;0,62;9,7;5;"Spain"
7,7;0,53;0,06;1,7;0,074;9;39;0,99615;3,35;0,48;9,8;6;"Spain"
10;0,32;0,59;2,2;0,077;3;15;0,9994;3,2;0,78;9,6;5;"France"
6,2;0,43;0,22;1,8;0,078;21;56;0,99633;3,52;0,6;9,5;6;"Spain"
9,1;0,45;0,35;2,4;0,08;23;78;0,9987;3,38;0,62;9,5;5;"France"
12,3;0,39;0,63;2,3;0,091;6;18;1,0004;3,16;0,49;9,5;5;"France"
7,6;0,735;0,02;2,5;0,071;10;14;0,99538;3,51;0,71;11,7;7;"France"
7,2;0,49;0,18;2,7;0,069;13;34;0,9967;3,29;0,48;9,2;6;"Chile"
10;0,59;0,31;2,2;0,09;26;62;0,9994;3,18;0,63;10,2;6;"Spain"
8,9;0,875;0,13;3,45;0,088;4;14;0,9994;3,44;0,52;11,5;5;"Spain"
10,9;0,37;0,58;4;0,071;17;65;0,99935;3,22;0,78;10,1;5;"Spain"
9,9;0,54;0,26;2;0,111;7;60;0,99709;2,94;0,98;10,2;5;"Chile"
7,3;0,305;0,39;1,2;0,059;7;11;0,99331;3,29;0,52;11,5;6;"Chile"
7,3;0,34;0,33;2,5;0,064;21;37;0,9952;3,35;0,77;12,1;7;"Chile"
8;0,83;0,27;2;0,08;11;63;0,99652;3,29;0,48;9,8;4;"Chile"
7,9;0,19;0,42;1,6;0,057;18;30;0,994;3,29;0,69;11,2;6;"Chile"
9,9;0,35;0,55;2,1;0,062;5;14;0,9971;3,26;0,79;10,6;5;"Spain"
7,1;0,39;0,12;2,1;0,065;14;24;0,99252;3,3;0,53;13,3;6;"Spain"
8,2;0,32;0,42;2,3;0,098;3;9;0,99506;3,27;0,55;12,3;6;"Spain"
7,4;0,5;0,47;2;0,086;21;73;0,997;3,36;0,57;9,1;5;"Chile"
7,8;0,545;0,12;2,5;0,068;11;35;0,996;3,34;0,61;11,6;6;"France"
6,1;0,56;0;2,2;0,079;6;9;0,9948;3,59;0,54;11,5;6;"Chile"
7,8;0,59;0,18;2,3;0,076;17;54;0,9975;3,43;0,59;10;5;"Chile"
6,8;0,47;0,08;2,2;0,064;18;38;0,99553;3,3;0,65;9,6;6;"Chile"
6,6;0,52;0,04;2,2;0,069;8;15;0,9956;3,4;0,63;9,4;6;"Spain"
5;0,44;0,04;18,6;0,039;38;128;0,9985;3,37;0,57;10,2;6;"Argentina"
8,4;0,67;0,19;2,2;0,093;11;75;0,99736;3,2;0,59;9,2;4;"France"
8,9;0,48;0,24;2,85;0,094;35;106;0,9982;3,1;0,53;9,2;5;"Spain"
8,5;0,47;0,27;1,9;0,058;18;38;0,99518;3,16;0,85;11,1;6;"Spain"
7,2;0,37;0,32;2;0,062;15;28;0,9947;3,23;0,73;11,3;7;"Spain"
10,1;0,38;0,5;2,4;0,104;6;13;0,99643;3,22;0,65;11,6;7;"Spain"
7,2;0,695;0,13;2;0,076;12;20;0,99546;3,29;0,54;10,1;5;"Chile"
6,8;0,56;0,22;1,8;0,074;15;24;0,99438;3,4;0,82;11,2;6;"Chile"
7,2;0,13;0,46;1,3;0,044;48;111;0,99127;2,97;0,45;11,1;5;"Argentina"
6,5;0,63;0,33;1,8;0,059;16;28;0,99531;3,36;0,64;10,1;6;"Spain"
7;0,62;0,18;1,5;0,062;7;50;0,9951;3,08;0,6;9,3;5;"Chile"
7,7;0,28;0,58;12,1;0,046;60;177;0,9983;3,08;0,46;8,9;5;"Argentina"
7;0,58;0,12;1,9;0,091;34;124;0,9956;3,44;0,48;10,5;5;"Spain"
9,9;0,35;0,41;2,3;0,083;11;61;0,9982;3,21;0,5;9,5;5;"Chile"
11,9;0,43;0,66;3,1;0,109;10;23;1;3,15;0,85;10,4;7;"Spain"
8,9;0,24;0,33;15,75;0,035;16;132;0,996;3;0,37;12,1;6;"Argentina"
8,5;0,32;0,36;14,9;0,041;47;190;0,9982;3,08;0,31;10;6;"Argentina"
8,1;1,33;0;1,8;0,082;3;12;0,9964;3,54;0,48;10,9;5;"Chile"
6,5;0,615;0;1,9;0,065;9;18;0,9972;3,46;0,65;9,2;5;"Spain"
6;0,615;0,04;0,8;0,032;8;50;0,99036;3,14;0,4;11;4;"Argentina"
6,9;0,33;0,62;7,5;0,038;46;132;0,99143;3,23;0,43;13,4;7;"Argentina"
7,9;0,21;0,39;2;0,057;21;138;0,99176;3,05;0,52;10,9;5;"Argentina"
6,2;0,785;0;2,1;0,06;6;13;0,99664;3,59;0,61;10;4;"France"
6,9;0,84;0,21;4,1;0,074;16;65;0,99842;3,53;0,72;9,23333333333333;6;"France"
7,8;0,16;0,41;1,7;0,026;29;140;0,991;3,02;0,78;12,5;6;"Argentina"
12,8;0,615;0,66;5,8;0,083;7;42;1,0022;3,07;0,73;10;7;"Spain"
6,8;0,36;0,32;1,8;0,067;4;8;0,9928;3,36;0,55;12,8;7;"France"
6,3;0,2;0,3;5,9;0,034;35;152;0,99642;3,47;0,4;8,5;6;"Argentina"
8,3;0,78;0,1;2,6;0,081;45;87;0,9983;3,48;0,53;10;5;"France"
7,5;0,61;0,26;1,9;0,073;24;88;0,99612;3,3;0,53;9,8;5;"France"
5,1;0,585;0;1,7;0,044;14;86;0,99264;3,56;0,94;12,9;7;"Spain"
6,8;0,64;0,03;2,3;0,075;14;31;0,99545;3,36;0,58;10,4;6;"Spain"
7,2;0,39;0,54;1,4;0,157;34;132;0,99449;3,11;0,53;9;6;"Argentina"
6,2;0,38;0,18;7,4;0,095;28;195;0,99773;3,53;0,71;9,2;4;"Argentina"
7,4;0,16;0,27;15,5;0,05;25;135;0,9984;2,9;0,43;8,7;7;"Argentina"
7,3;0,67;0,02;2,2;0,072;31;92;0,99566;3,32;0,68;11,0666666666667;6;"Chile"
7,8;0,54;0,26;2;0,088;23;48;0,9981;3,41;0,74;9,2;6;"France"
8,1;0,575;0,22;2,1;0,077;12;65;0,9967;3,29;0,51;9,2;5;"Chile"
7,7;0,28;0,3;2;0,062;18;34;0,9952;3,28;0,9;11,3;7;"France"
7;0,54;0,09;2;0,081;10;16;0,99479;3,43;0,59;11,5;6;"Spain"
7,4;0,25;0,37;2,6;0,05;24;132;0,99138;3,04;0,53;11,2;6;"Argentina"
8,5;0,66;0,2;2,1;0,097;23;113;0,99733;3,13;0,48;9,2;5;"Spain"
9,3;0,48;0,29;2,1;0,127;6;16;0,9968;3,22;0,72;11,2;5;"Chile"
7,7;0,69;0,05;2,7;0,075;15;27;0,9974;3,26;0,61;9,1;5;"Spain"
7,5;0,755;0;1,9;0,084;6;12;0,99672;3,34;0,49;9,7;4;"Chile"
6,9;0,21;0,33;1,8;0,034;48;136;0,9899;3,25;0,41;12,6;7;"Argentina"
7,2;0,45;0,15;2;0,078;10;28;0,99609;3,29;0,51;9,9;6;"Chile"
6,8;0,22;0,37;15,2;0,051;68;178;0,99935;3,4;0,85;9,3;6;"Argentina"
7,5;0,6;0,32;2,7;0,103;13;98;0,99938;3,45;0,62;9,5;5;"Chile"
7,7;0,43;0,25;2,6;0,073;29;63;0,99615;3,37;0,58;10,5;6;"France"
6,8;0,19;0,36;1,9;0,035;30;96;0,9917;3,15;0,54;10,8;7;"Argentina"
8;0,24;0,48;6,8;0,047;13;134;0,99616;3,23;0,7;10;5;"Argentina"
8,7;0,78;0,51;1,7;0,415;12;66;0,99623;3;1,17;9,2;5;"Spain"
6,6;0,855;0,02;2,4;0,062;15;23;0,99627;3,54;0,6;11;6;"Spain"
6;0,17;0,36;1,7;0,042;14;61;0,99144;3,22;0,54;10,8;6;"Argentina"
8,3;0,42;0,38;2,5;0,094;24;60;0,9979;3,31;0,7;10,8;6;"France"
9,2;0,16;0,49;2;0,044;18;107;0,99514;3,1;0,53;10,2;4;"Argentina"
9,4;0,5;0,34;3,6;0,082;5;14;0,9987;3,29;0,52;10,7;6;"France"
7,5;0,38;0,57;2,3;0,106;5;12;0,99605;3,36;0,55;11,4;6;"France"
7;0,34;0,39;6,9;0,066;43;162;0,99561;3,11;0,53;9,5;5;"Argentina"
8;0,18;0,37;0,9;0,049;36;109;0,99007;2,89;0,44;12,7;6;"France"
8,1;0,545;0,18;1,9;0,08;13;35;0,9972;3,3;0,59;9;6;"Spain"
6,8;0,64;0;2,7;0,123;15;33;0,99538;3,44;0,63;11,3;6;"France"
8,7;0,63;0,28;2,7;0,096;17;69;0,99734;3,26;0,63;10,2;6;"Chile"
7,9;0,33;0,23;1,7;0,077;18;45;0,99625;3,29;0,65;9,3;5;"Chile"
5,9;0,42;0,36;2,4;0,034;19;77;0,99184;3,25;0,48;10,9;5;"Argentina"
9;0,45;0,49;2,6;0,084;21;75;0,9987;3,35;0,57;9,7;5;"France"
10;0,49;0,2;11;0,071;13;50;1,0015;3,16;0,69;9,2;6;"Chile"
10,8;0,32;0,44;1,6;0,063;16;37;0,9985;3,22;0,78;10;6;"France"
9,9;0,5;0,5;13,8;0,205;48;82;1,00242;3,16;0,75;8,8;5;"Spain"
7,2;0,635;0,07;2,6;0,077;16;86;0,99748;3,51;0,54;9,7;5;"Chile"
7,4;0,29;0,38;1,7;0,062;9;30;0,9968;3,41;0,53;9,5;6;"Spain"
7,2;0,49;0,24;2,2;0,07;5;36;0,996;3,33;0,48;9,4;5;"Spain"
12,5;0,38;0,6;2,6;0,081;31;72;0,9996;3,1;0,73;10,5;5;"Chile"
7;0,5;0,25;2;0,07;3;22;0,9963;3,25;0,63;9,2;5;"Chile"
7,2;0,24;0,36;2;0,029;21;63;0,99076;3,13;0,63;12,5;6;"Argentina"
11,1;0,35;0,48;3,1;0,09;5;21;0,9986;3,17;0,53;10,5;5;"Spain"
10,2;0,29;0,65;2,4;0,075;6;17;0,99565;3,22;0,63;11,8;6;"France"
7,7;0,39;0,49;7,7;0,036;11;110;0,9966;3,33;0,76;10;6;"Argentina"
7,1;0,715;0;2,35;0,071;21;47;0,99632;3,29;0,45;9,4;5;"Spain"
12,9;0,5;0,55;2,8;0,072;7;24;1,00012;3,09;0,68;10,9;6;"France"
8,9;0,38;0,4;2,2;0,068;12;28;0,99486;3,27;0,75;12,6;7;"France"
10,6;0,36;0,6;2,2;0,152;7;18;0,9986;3,04;1,06;9,4;5;"Chile"
8,3;0,66;0,15;1,9;0,079;17;42;0,9972;3,31;0,54;9,6;6;"Chile"
7,8;0,39;0,26;9,9;0,059;33;181;0,9955;3,04;0,42;10,9;6;"Argentina"
7,3;0,19;0,27;1,6;0,027;35;136;0,99248;3,38;0,54;11;7;"Argentina"
9,5;0,37;0,52;2;0,088;12;51;0,99613;3,29;0,58;11,1;6;"Spain"
10,4;0,26;0,48;1,9;0,066;6;10;0,99724;3,33;0,87;10,9;6;"Chile"
5;0,74;0;1,2;0,041;16;46;0,99258;4,01;0,59;12,5;6;"France"
6,6;0,39;0,49;1,7;0,07;23;149;0,9922;3,12;0,5;11,5;6;"Chile"
9,5;0,86;0,26;1,9;0,079;13;28;0,99712;3,25;0,62;10;5;"Chile"
9,1;0,4;0,57;4,6;0,08;6;20;0,99652;3,28;0,57;12,5;6;"Spain"
7,2;0,655;0,03;1,8;0,078;7;12;0,99587;3,34;0,39;9,5;5;"Chile"
9,8;0,5;0,34;2,3;0,094;10;45;0,99864;3,24;0,6;9,7;7;"Chile"
5,2;0,645;0;2,15;0,08;15;28;0,99444;3,78;0,61;12,5;6;"Chile"
10,4;0,44;0,73;6,55;0,074;38;76;0,999;3,17;0,85;12;7;"Chile"
6,3;0,3;0,19;7,7;0,049;47;184;0,99514;3,22;0,48;9,5;5;"Argentina"
6,2;0,57;0,1;2,1;0,048;4;11;0,99448;3,44;0,76;10,8;6;"Chile"
5,6;0,66;0;2,2;0,087;3;11;0,99378;3,71;0,63;12,8;7;"France"
9,4;0,43;0,24;2,8;0,092;14;45;0,998;3,19;0,73;10;6;"Chile"
8,2;0,2;0,43;2,5;0,076;31;51;0,99672;3,53;0,81;10,4;6;"France"
8,6;0,52;0,38;1,5;0,096;5;18;0,99666;3,2;0,52;9,4;5;"Chile"
8,6;0,52;0,38;1,5;0,096;5;18;0,99666;3,2;0,52;9,4;5;"France"
6,9;0,2;0,34;1,9;0,043;25;136;0,9935;3,31;0,6;10,1;4;"Argentina"
9,1;0,76;0,68;1,7;0,414;18;64;0,99652;2,9;1,33;9,1;6;"France"
6,9;0,51;0,23;2;0,072;13;22;0,99438;3,4;0,84;11,2;6;"France"
6,8;0,67;0,15;1,8;0,118;13;20;0,9954;3,42;0,67;11,3;6;"Spain"
6,2;0,25;0,38;7,9;0,045;54;208;0,99572;3,17;0,46;9,1;5;"Argentina"
7,5;0,26;0,26;18,35;0,084;33;139;1,0011;3,17;0,39;8,8;5;"Argentina"
7;0,26;0,26;10,8;0,039;37;184;0,99787;3,47;0,58;10,3;7;"Argentina"
9;0,48;0,32;2,8;0,084;21;122;0,9984;3,32;0,62;9,4;5;"France"
7;0,69;0,07;2,5;0,091;15;21;0,99572;3,38;0,6;11,3;6;"Spain"
6,1;0,41;0,2;12,6;0,032;54;136;0,99516;2,91;0,43;10,6;6;"Argentina"
4,8;0,13;0,32;1,2;0,042;40;98;0,9898;3,42;0,64;11,8;7;"Argentina"
7,9;0,66;0;1,4;0,096;6;13;0,99569;3,43;0,58;9,5;5;"France"
7,7;0,26;0,3;1,7;0,059;20;38;0,9949;3,29;0,47;10,8;6;"Chile"
11,6;0,44;0,64;2,1;0,059;5;15;0,998;3,21;0,67;10,2;6;"Spain"
6,2;0,44;0,39;2,5;0,077;6;14;0,99555;3,51;0,69;11;6;"France"
7,1;0,59;0;2,2;0,078;26;44;0,99522;3,42;0,68;10,8;6;"Chile"
11,3;0,62;0,67;5,2;0,086;6;19;0,9988;3,22;0,69;13,4;8;"Spain"
10,7;0,9;0,34;6,6;0,112;23;99;1,00289;3,22;0,68;9,3;5;"France"
12,4;0,35;0,49;2,6;0,079;27;69;0,9994;3,12;0,75;10,4;6;"France"
7;0,6;0,12;2,2;0,083;13;28;0,9966;3,52;0,62;10,2;7;"Chile"
7,6;0,39;0,31;2,3;0,082;23;71;0,9982;3,52;0,65;9,7;5;"France"
3,9;0,225;0,4;4,2;0,03;29;118;0,989;3,57;0,36;12,8;8;"Argentina"
6,3;0,3;0,34;1,6;0,049;14;132;0,994;3,3;0,49;9,5;6;"Argentina"
10,6;0,83;0,37;2,6;0,086;26;70;0,9981;3,16;0,52;9,9;5;"France"
7,1;0,43;0,17;1,8;0,082;27;51;0,99634;3,49;0,64;10,4;5;"France"
12,6;0,31;0,72;2,2;0,072;6;29;0,9987;2,88;0,82;9,8;8;"Chile"
6,6;0,895;0,04;2,3;0,068;7;13;0,99582;3,53;0,58;10,8;6;"Chile"
7,6;0,43;0,4;2,7;0,082;6;11;0,99538;3,44;0,54;12,2;6;"Chile"
9,6;0,42;0,35;2,1;0,083;17;38;0,99622;3,23;0,66;11,1;6;"Chile"
9,4;0,4;0,47;2,5;0,087;6;20;0,99772;3,15;0,5;10,5;5;"Spain"
5,6;0,615;0;1,6;0,089;16;59;0,9943;3,58;0,52;9,9;5;"Chile"
9,9;0,32;0,56;2;0,073;3;8;0,99534;3,15;0,73;11,4;6;"Spain"
8;1,18;0,21;1,9;0,083;14;41;0,99532;3,34;0,47;10,5;5;"France"
7,2;0,19;0,31;1,6;0,062;31;173;0,9917;3,35;0,44;11,7;6;"Argentina"
8,8;0,59;0,18;2,9;0,089;12;74;0,99738;3,14;0,54;9,4;5;"Spain"
6,9;0,19;0,35;6,9;0,045;51;125;0,9933;3,1;0,44;10,7;7;"Argentina"
11;0,3;0,58;2,1;0,054;7;19;0,998;3,31;0,88;10,5;7;"Spain"
5,8;0,29;0,26;1,7;0,063;3;11;0,9915;3,39;0,54;13,5;6;"France"
13,3;0,34;0,52;3,2;0,094;17;53;1,0014;3,05;0,81;9,5;6;"Chile"
7,2;0,14;0,35;1,2;0,036;15;73;0,9938;3,46;0,39;9,9;5;"Argentina"
8,1;0,82;0;4,1;0,095;5;14;0,99854;3,36;0,53;9,6;5;"Spain"
6,8;0,28;0,44;9,3;0,031;35;137;0,9946;3,16;0,36;10,4;6;"Argentina"
7,2;0,37;0,32;2;0,062;15;28;0,9947;3,23;0,73;11,3;7;"Spain"
6,4;0,79;0,04;2,2;0,061;11;17;0,99588;3,53;0,65;10,4;6;"France"
7,2;1;0;3;0,102;7;16;0,99586;3,43;0,46;10;5;"Chile"
11,8;0,38;0,55;2,1;0,071;5;19;0,9986;3,11;0,62;10,8;6;"France"
9,6;0,56;0,31;2,8;0,089;15;46;0,9979;3,11;0,92;10;6;"Chile"
9,1;0,25;0,34;2;0,071;45;67;0,99769;3,44;0,86;10,2;7;"France"
7,7;0,61;0,18;2,4;0,083;6;20;0,9963;3,29;0,6;10,2;6;"France"
7,9;0,43;0,21;1,6;0,106;10;37;0,9966;3,17;0,91;9,5;5;"France"
8,7;0,29;0,52;1,6;0,113;12;37;0,9969;3,25;0,58;9,5;5;"Chile"
12,8;0,615;0,66;5,8;0,083;7;42;1,0022;3,07;0,73;10;7;"Chile"
