"fixed.acidity","volatile.acidity","citric.acidity","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","country"
5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,7,"Australia"
7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,6,"Australia"
7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1,5,"Argentina"
7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4,"Australia"
7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6,"Australia"
7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5,"Germany"
7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1,6,"Argentina"
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,"Argentina"
7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5,"Australia"
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6,"Chile"
6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,6,"Argentina"
6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4,7,"Argentina"
8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6,"Chile"
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5,"Germany"
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6,"Australia"
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,"Chile"
9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7,"Chile"
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6,"Australia"
7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2,6,"Australia"
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7,"Germany"
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,"Germany"
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,"Argentina"
8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5,"Argentina"
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,"Argentina"
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,"Chile"
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5,"Germany"
6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,6,"Argentina"
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,"Chile"
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,"Chile"
6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5,5,"Australia"
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5,"Australia"
7,0.54,0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,6,"Germany"
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,"Germany"
6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4,"Australia"
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5,"Chile"
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,"Germany"
7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5,"Chile"
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5,"Australia"
7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,"Australia"
6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,"Chile"
6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,"Argentina"
8.3,0.4,0.41,8.2,0.05,15,122,0.9979,3.39,0.49,9.3,5,"Australia"
6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6,"Germany"
6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,7,"Argentina"
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5,"Argentina"
6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6,"Australia"
6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4,"Australia"
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6,"Chile"
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5,"Australia"
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,"Australia"
6.3,0.21,0.58,10,0.081,34,126,0.9962,2.95,0.46,8.9,5,"Australia"
7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,"Chile"
7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,"Chile"
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5,"Chile"
5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6,"Argentina"
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,"Argentina"
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,"Chile"
6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5,"Australia"
6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6,"Australia"
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.4666666666667,5,"Australia"
7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7,"Argentina"
7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7,"Argentina"
4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6,"Australia"
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7,"Argentina"
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,"Chile"
10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6,"Australia"
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,"Chile"
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5,"Chile"
7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6,"Australia"
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7,"Germany"
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5,"Argentina"
7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,6,"Germany"
6.3,0.23,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6,"Argentina"
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,"Chile"
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,"Germany"
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,"Chile"
6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4,"Argentina"
6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5,"Argentina"
5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,"Argentina"
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7,"Germany"
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5,"Australia"
7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6,"Chile"
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7,"Germany"
7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7,"Argentina"
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4,"Australia"
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,"Germany"
7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,6,"Germany"
7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,6,"Australia"
6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6,"Argentina"
7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,6,"Germany"
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,"Chile"
11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5,"Chile"
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,"Germany"
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,"Chile"
7.4,0.19,0.3,12.8,0.053,48.5,212,0.9986,3.14,0.49,9.1,7,"Australia"
7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7,"Australia"
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,"Chile"
6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6,"Argentina"
7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6,"Australia"
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,5,"Chile"
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,"Australia"
6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,6,"Australia"
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,"Germany"
5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7,"Argentina"
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,"Germany"
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5,"Chile"
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"Argentina"
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,"Chile"
8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6,"Chile"
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,"Australia"
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6,"Argentina"
5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,8,"Australia"
6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,"Australia"
7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,8,"Australia"
7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6,"Argentina"
5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12,6,"Australia"
6.2,0.16,0.32,1.1,0.036,74,184,0.99096,3.22,0.41,11,6,"Australia"
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,"Australia"
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,"Chile"
7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7,"Argentina"
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6,"Argentina"
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6,"Germany"
7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,"Australia"
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7,"Argentina"
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6,"Chile"
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,"Chile"
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,"Chile"
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,"Chile"
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,"Germany"
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,"Australia"
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,"Germany"
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6,"Chile"
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,"Germany"
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5,"Germany"
5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,"Chile"
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5,"Chile"
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,"Chile"
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6,"Argentina"
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.5666666666667,5,"Australia"
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,"Chile"
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8,"Australia"
8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7,"Germany"
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,"Chile"
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,"Germany"
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5,"Chile"
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,"Germany"
5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6,"Australia"
7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7,"Argentina"
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5,"Australia"
6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,7,"Argentina"
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,"Chile"
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5,"Australia"
8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7,"Argentina"
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5,"Australia"
8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6,"Chile"
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,"Germany"
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5,"Germany"
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,"Chile"
6.9,0.24,0.37,6.1,0.027,38,112,0.99086,3.19,0.34,12.4,6,"Australia"
9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5,"Germany"
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,6,"Argentina"
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,"Germany"
6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6,"Germany"
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,"Chile"
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,"Germany"
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,"Australia"
5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,5,"Australia"
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5,"Chile"
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5,"Australia"
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5,"Germany"
7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7,"Argentina"
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5,"Germany"
7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6,"Argentina"
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5,"Germany"
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6,"Argentina"
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6,"Argentina"
7.6,0.34,0.39,7.6,0.04,45,215,0.9965,3.11,0.53,9.2,6,"Argentina"
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,"Chile"
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,"Chile"
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5,"Chile"
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,"Argentina"
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,"Argentina"
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,"Chile"
8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6,"Australia"
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,"Chile"
7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5,"Argentina"
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6,"Germany"
6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,"Germany"
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5,"Germany"
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,"Chile"
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,"Germany"
7.9,0.33,0.26,1.2,0.044,23,103,0.9932,3.19,0.54,10.5,6,"Australia"
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,"Germany"
6.6,0.35,0.26,2.7,0.045,19,129,0.98952,3.24,0.48,13,7,"Argentina"
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5,"Chile"
6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5,"Argentina"
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5,"Chile"
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,"Chile"
7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5,"Argentina"
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,"Germany"
7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,6,"Argentina"
8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5,"Germany"
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,"Germany"
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6,"Argentina"
6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4,7,"Argentina"
6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,"Germany"
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,"Germany"
8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6,"Argentina"
6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5,"Australia"
6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6,"Germany"
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,"Germany"
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5,"Chile"
7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6,"Germany"
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6,"Chile"
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,"Germany"
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7,"Australia"
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,"Chile"
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,"Germany"
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,"Australia"
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6,"Australia"
6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6,"Argentina"
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6,"Germany"
6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6,"Chile"
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,"Australia"
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,"Chile"
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,"Germany"
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5,"Germany"
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,"Chile"
9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,5,"Germany"
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,"Australia"
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6,"Germany"
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6,"Chile"
5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6,"Argentina"
7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7,"Argentina"
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5,"Australia"
8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,6,"Germany"
9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,6,"Chile"
7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,"Chile"
7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6,"Argentina"
9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,6,"Argentina"
5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,6,"Argentina"
6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9,5,"Australia"
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4,"Chile"
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,"Chile"
6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6,"Australia"
6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6,6,"Argentina"
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4,"Argentina"
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5,"Germany"
6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,"Chile"
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5,"Chile"
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,"Germany"
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5,"Chile"
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,"Germany"
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5,"Argentina"
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4,"Chile"
9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,3,"Australia"
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,"Chile"
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,"Chile"
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,"Chile"
12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6,"Germany"
6.2,0.33,0.27,4.9,0.036,30,134,0.9927,3.2,0.42,10.4,7,"Australia"
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,"Germany"
7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6,"Chile"
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,"Chile"
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6,"Chile"
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8,"Australia"
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6,"Chile"
8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7,"Germany"
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,"Argentina"
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,"Chile"
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,"Germany"
7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6,"Australia"
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6,"Argentina"
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6,"Australia"
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5,"Australia"
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,"Germany"
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,"Chile"
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,"Germany"
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,"Chile"
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,"Chile"
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,"Australia"
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,"Chile"
6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,6,"Australia"
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5,"Germany"
8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6,"Argentina"
7,0.4,0.25,1.8,0.05,51,189,0.99174,3,0.55,11.4,6,"Australia"
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,"Argentina"
